"","V1","V2","V3","V4","V5"
"378",95,37,0,0,0
"379",49,15,0,0,0
"380",43,7,2,0,0
"381",91,66,0,0,0
"382",91,72,0,1,0
"383",99,99,7,13,0
"384",110,116,0,14,2
"385",74,53,3,9,2
"386",106,53,0,2,0
"387",124,55,0,7,0
"388",139,60,0,1,2
"389",152,80,0,6,1
"390",211,87,14,0,1
"391",248,111,0,6,0
"392",190,85,0,34,0
"393",134,54,0,0,0
"394",105,41,0,0,0
"395",46,24,0,0,0
"396",24,19,0,0,0
"397",26,12,0,0,0
"398",16,6,0,0,0
"399",8,1,4,0,0
"400",484,92,22,2,18
"401",526,43,23,0,0
"402",518,121,17,3,0
"403",465,160,28,30,7
"404",261,79,23,6,9
"405",257,62,41,3,0
"406",326,46,11,2,0
"407",394,46,6,0,0
"408",361,110,9,7,0
"409",517,61,5,5,0
"410",483,69,8,16,0
"411",387,53,7,13,0
"412",275,34,0,0,0
"413",232,19,0,6,0
"414",113,26,4,0,0
"415",76,25,0,4,0
"416",46,11,0,0,0
"417",11,3,0,0,0
"418",15,1,0,1,0
"419",469,129,22,46,6
"420",562,157,6,38,4
"421",643,177,17,34,10
"422",706,156,7,26,18
"423",342,107,2,32,2
"424",316,89,4,27,2
"425",424,76,5,20,1
"426",564,83,2,29,12
"427",674,144,40,39,0
"428",839,156,8,49,0
"429",862,149,7,43,0
"430",665,98,5,30,0
"431",377,81,0,19,0
"432",235,48,0,20,0
"433",117,49,0,8,0
"434",95,25,0,0,0
"435",67,15,0,4,0
"436",38,9,0,0,0
"437",3,27,0,0,0
"438",28,1062,0,0,0
"439",141,879,13,19,0
"440",88,912,0,0,0
"441",67,866,0,0,0
"442",60,490,0,0,0
"443",39,335,0,0,0
"444",42,368,0,0,0
"445",49,349,9,20,0
"446",62,356,0,18,0
"447",68,337,0,0,14
"448",79,198,16,0,0
"449",38,215,0,0,0
"450",18,150,13,0,0
"451",4,123,0,0,0
"452",0,130,0,0,0
"453",4,75,0,0,0
"454",0,59,0,0,0
"455",0,22,0,0,0
"456",10,0,0,0,0
"457",267,99,3,12,0
"458",325,100,7,14,0
"459",369,98,12,28,2
"460",381,181,0,38,8
"461",207,92,8,16,0
"462",178,55,2,9,4
"463",242,50,12,10,3
"464",309,60,1,6,2
"465",375,79,4,13,0
"466",481,100,0,16,4
"467",522,95,0,17,0
"468",418,90,0,12,0
"469",321,54,0,6,0
"470",223,36,0,2,0
"471",113,30,0,14,0
"472",114,20,0,11,0
"473",94,15,0,0,0
"474",56,4,0,0,0
"475",29,12,0,0,1
"476",25,24,0,0,0
"477",16,23,0,0,0
"478",22,45,0,1,0
"479",23,32,0,6,0
"480",25,17,0,0,2
"481",22,12,2,0,0
"482",30,12,0,0,0
"483",29,17,2,0,0
"484",32,17,0,0,0
"485",36,14,0,5,2
"486",56,18,0,3,0
"487",22,13,0,14,0
"488",21,6,0,0,4
"489",15,12,0,0,0
"490",4,3,0,0,0
"491",0,13,0,0,0
"492",1,1,2,1,2
"493",0,0,0,0,0
"494",0,0,0,0,0
"495",109,281,0,21,0
"496",129,338,16,6,0
"497",118,375,0,19,6
"498",144,484,0,12,0
"499",93,268,0,4,0
"500",110,238,0,0,0
"501",104,227,0,2,0
"502",109,179,10,5,3
"503",152,293,27,0,0
"504",218,277,28,8,0
"505",240,266,0,0,0
"506",177,205,47,5,0
"507",110,174,0,4,0
"508",59,132,0,0,0
"509",41,105,0,0,0
"510",16,94,0,0,0
"511",14,48,0,0,0
"512",8,23,0,0,0
"513",13,8,0,5,0
