28,18,2,0,0
30,17,0,0,0
35,14,0,4,2
59,20,0,3,0
28,17,0,16,0
21,6,0,0,4
16,12,0,0,0
4,3,0,0,0
0,13,0,0,0
1,1,2,1,2
0,0,0,0,0
0,0,0,0,0
108,286,0,21,0
124,330,13,6,0
115,370,0,18,6
140,476,0,11,0
90,258,0,4,0
106,235,0,0,0
100,217,0,2,0
110,188,10,5,3
153,304,28,0,0
221,288,28,8,0
241,270,0,0,0
192,217,50,6,0
112,172,0,4,0
58,126,0,0,0
42,108,0,0,0
16,93,0,0,0
13,44,0,0,0
8,24,0,0,0
14,9,0,6,0
