534,70,2,20,4,25
662,109,12,36,0,32
797,126,9,41,0,39
821,121,7,35,0,39
634,76,7,30,0,26
367,63,0,17,0,14
224,40,0,19,0,9
117,43,0,9,0,0
92,24,0,0,0,3
63,13,0,4,0,4
37,8,0,0,0,0
3,26,0,0,0,1
11,978,0,0,0,49
27,896,4,9,0,42
31,886,0,0,0,30
33,837,0,0,0,26
37,471,0,0,0,18
30,321,0,0,0,5
37,361,0,0,0,1
51,360,3,9,0,2
62,358,0,6,0,5
65,334,0,0,6,9
76,203,6,0,0,3
39,211,0,0,0,2
19,153,5,0,0,3
3,121,0,0,0,1
0,130,0,0,0,0
4,71,0,0,0,4
0,57,0,0,0,0
0,22,0,0,0,0
10,0,0,0,0,0
210,61,1,3,0,52
260,63,2,4,0,46
299,63,2,9,1,61
335,115,0,14,2,51
177,66,6,9,0,32
162,42,2,6,2,11
229,41,4,6,1,13
283,47,1,6,1,18
354,58,1,8,0,16
459,80,0,10,2,22
489,76,0,13,0,33
393,66,0,7,0,26
299,40,0,3,0,16
207,27,0,2,0,11
114,24,0,4,0,6
108,16,0,6,0,8
89,11,0,0,0,3
50,4,0,0,0,3
26,10,0,0,1,4
16,21,0,0,0,3
12,18,0,0,0,5
15,36,0,1,0,5
14,24,0,1,0,15
15,14,0,0,1,2
19,11,1,0,0,2
27,10,0,0,0,1
28,17,1,0,0,1
29,16,0,0,0,2
34,12,0,1,1,6
52,13,0,1,0,3
28,14,0,4,0,0
22,6,0,0,2,1
15,10,0,0,0,0
4,3,0,0,0,0
0,13,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
75,263,0,4,0,29
96,308,4,3,0,30
89,348,0,8,4,28
109,453,0,7,0,27
74,248,0,4,0,16
93,225,0,0,0,9
90,212,0,2,0,12
96,179,3,3,2,8
138,290,9,0,0,13
201,276,6,7,0,20
218,255,0,0,0,11
181,211,16,5,0,11
104,166,0,4,0,6
53,123,0,0,0,10
36,101,0,0,0,0
16,93,0,0,0,0
13,44,0,0,0,5
7,23,0,0,0,0
12,9,0,5,0,1
