"","V1","V2","V3","V4","V5","V6"
"377",176,44,0,21,0,4
"378",143,9,0,21,0,3
"379",95,6,0,13,0,5
"380",61,0,1,0,0,2
"381",1300,177,10,14,4,120
"382",1442,158,11,16,10,119
"383",1691,180,21,15,7,114
"384",1730,300,37,24,10,111
"385",1024,275,38,20,7,86
"386",913,166,42,10,3,41
"387",1125,132,44,19,3,35
"388",1354,165,27,12,3,37
"389",1688,177,33,20,8,45
"390",2205,164,10,25,6,79
"391",2403,144,14,13,1,63
"392",1939,120,22,20,0,54
"393",1372,52,13,18,2,20
"394",896,50,6,9,1,13
"395",585,33,0,12,0,12
"396",391,22,2,6,0,10
"397",229,15,5,4,0,9
"398",99,3,0,0,0,4
"399",24,0,0,8,0,3
"400",1187,163,6,22,2,102
"401",1408,115,8,22,12,83
"402",1658,148,14,24,4,87
"403",1739,275,28,27,8,103
"404",1079,144,11,23,5,65
"405",915,122,5,17,4,42
"406",1187,99,3,25,3,39
"407",1446,112,5,22,4,29
"408",1679,135,6,36,6,63
"409",2093,173,3,40,5,85
"410",2217,142,11,32,2,55
"411",1682,108,16,39,0,35
"412",1153,72,10,29,2,16
"413",699,39,3,14,1,24
"414",512,41,0,16,0,13
"415",396,27,3,16,0,9
"416",260,18,5,4,0,11
"417",146,9,0,9,0,1
"418",85,8,2,0,0,0
"419",289,109,4,18,1,48
"420",319,89,4,12,0,38
"421",344,94,2,20,1,31
"422",315,114,2,24,2,43
"423",177,74,4,11,2,26
"424",217,58,5,10,0,11
"425",287,51,5,11,0,8
"426",366,77,3,12,1,13
"427",443,90,12,22,2,13
"428",527,64,3,19,0,18
"429",476,65,3,26,1,29
"430",440,48,0,14,0,14
"431",285,46,4,11,1,7
"432",199,23,0,15,1,12
"433",106,12,0,4,0,3
"434",99,13,0,10,0,1
"435",54,9,0,5,0,4
"436",33,4,0,6,0,0
"437",16,3,0,3,0,0
"438",262,86,2,20,0,46
"439",310,67,5,22,0,36
"440",338,79,2,25,1,34
"441",332,98,2,22,3,48
"442",249,64,2,20,2,22
"443",223,69,2,11,0,12
"444",288,44,2,11,1,18
"445",386,65,2,13,1,12
"446",391,79,6,20,1,15
"447",455,84,3,34,0,23
"448",459,67,2,20,1,23
"449",362,58,0,21,0,27
"450",242,47,4,28,2,10
"451",163,24,0,10,0,6
"452",111,21,0,7,0,3
"453",101,25,0,9,0,4
"454",66,16,0,12,0,0
"455",33,6,0,9,0,0
"456",27,0,1,6,0,1
"457",323,95,5,84,7,46
"458",364,109,7,102,2,44
"459",336,100,5,117,8,39
"460",359,104,4,94,4,42
"461",208,61,4,50,5,22
"462",244,51,6,50,6,8
"463",351,48,13,51,6,11
"464",406,62,8,77,3,12
"465",378,99,4,86,4,15
"466",393,72,4,125,3,17
"467",320,75,13,105,1,20
"468",274,58,2,92,2,11
"469",171,41,0,59,2,7
"470",72,27,7,55,2,1
"471",56,14,0,26,3,1
"472",35,8,5,10,0,4
"473",25,7,3,1,0,1
"474",21,7,0,0,0,0
"475",0,8,0,0,0,0
"476",332,89,8,88,6,36
"477",340,77,9,93,2,30
"478",382,84,10,105,7,43
"479",342,61,2,83,4,34
"480",181,67,1,55,4,21
"481",243,58,5,48,5,15
"482",339,44,6,54,5,16
"483",387,71,7,73,3,9
"484",384,85,2,62,5,10
"485",301,84,0,95,3,22
"486",272,80,0,80,1,13
"487",205,58,1,108,1,19
"488",113,39,0,72,1,7
"489",67,34,0,37,1,3
"490",55,23,0,18,3,3
"491",39,10,0,8,0,5
"492",14,14,0,6,0,2
"493",9,6,0,0,0,7
"494",12,6,0,0,0,2
"495",9,46,0,0,0,13
"496",11,36,0,0,0,6
"497",14,63,0,0,1,5
"498",13,56,0,0,0,8
"499",7,43,0,0,4,4
"500",12,37,0,0,0,2
"501",10,22,0,0,0,2
"502",12,28,0,3,1,1
"503",18,35,10,3,1,0
"504",35,37,0,6,0,5
"505",16,38,0,0,0,2
"506",22,27,0,0,0,3
"507",11,19,0,0,0,3
"508",6,22,0,0,0,0
"509",7,6,0,0,0,0
"510",0,14,0,0,0,0
"511",3,3,0,0,0,0
"512",0,1,0,0,0,0
"513",0,0,1,0,0,0
"514",12,37,0,0,0,6
"515",11,45,0,0,1,6
"516",7,53,0,0,1,4
"517",13,65,0,0,0,8
"518",14,40,0,0,1,4
"519",11,29,0,0,0,2
"520",10,22,0,0,1,2
"521",15,19,0,1,0,1
"522",20,35,0,1,1,1
"523",22,31,0,2,0,4
"524",17,33,0,0,0,3
"525",9,26,0,0,0,1
"526",6,20,0,0,0,5
"527",6,16,0,0,0,0
"528",0,16,0,0,0,0
"529",0,5,0,0,0,0
"530",2,5,0,0,0,0
"531",0,3,0,0,0,0
"532",3,0,0,0,0,0
"533",2352,282,47,23,16,290
"534",2503,238,46,41,10,229
"535",2753,306,61,31,11,230
"536",2842,355,81,41,12,217
"537",1612,362,100,56,7,147
"538",1681,223,87,46,8,71
"539",2071,161,78,29,11,69
"540",2309,187,76,31,12,65
"541",2863,192,68,44,8,72
"542",3304,208,63,36,8,88
"543",3025,170,62,24,14,83
"544",2342,92,43,17,0,62
"545",1530,38,19,23,12,33
"546",1061,23,14,0,0,11
"547",610,17,18,5,0,12
"548",469,21,7,15,0,4
"549",245,10,5,0,0,1
"550",107,3,0,0,0,0
"551",32,0,4,0,0,4
"552",2099,226,33,20,11,298
"553",2286,223,39,41,9,223
"554",2765,235,58,40,8,218
"555",2686,295,51,40,10,195
"556",1840,221,17,79,6,125
"557",1721,208,22,32,6,71
"558",1988,155,34,43,9,97
"559",2403,149,43,48,9,67
"560",2703,190,17,75,6,120
"561",2931,196,53,107,6,88
"562",2705,173,65,112,11,71
"563",2001,96,34,40,0,57
"564",1250,67,17,22,9,42
"565",815,32,10,34,0,15
"566",595,37,14,6,0,21
"567",443,14,7,12,0,5
"568",287,6,7,14,0,6
"569",147,1,0,20,0,0
"570",7,90,1,4,0,1
"571",77,459,1,6,0,33
"572",83,378,1,2,0,38
"573",58,418,6,4,0,30
"574",65,388,4,1,4,15
"575",36,223,2,4,1,18
"576",56,207,3,3,0,5
"577",84,202,1,4,0,6
"578",80,188,4,2,0,5
"579",137,204,10,5,0,4
